id,title,adult,budget,date,duration,r,g,b,mainHue,avgHue,avgSat,avgLtn,actor-1,actor-2,actor-3,director,genre-1,genre-2,genre-3,genre-4,genre-5,genre-6,genre-7,genre-8,genre-9,genre-10,genre-11,genre-12,genre-13,genre-14,genre-15,genre-16,genre-17,genre-18,genre-19,rating
99861,Avengers: Age of Ultron,280000000,0,2015,141,0.3467043344656548,0.34757725139443296,0.40395633890344002,6,0.52812884827273321,0.031829671398016721,113.21866614816255,6.32,6.58,6.35,7.08,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.3
61791,Rise of the Planet of the Apes,93000000,0,2011,105,0.22924508088282952,0.30016432005429039,0.33338541249671172,6,0.36531531531531536,0.059751118024499318,86.094847365350958,6.19,6.14,6.24,6.22,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,7.1
155,The Dark Knight,185000000,0,2008,152,0.16714208919033294,0.2401149859127007,0.30155322482872204,6,0.49620195735303652,0.033521291075247907,86.988178106163716,6.55,6.24,6.64,7.18,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8.3
390043,The Hitman's Bodyguard,30000000,0,2017,118,0.4792733317320706,0.18643097604587239,0.044985264570537538,2,0.17820014258863176,0.20985805949834727,122.57616177328407,6.05,6.39,6.57,6.44,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6
87101,Terminator Genisys,155000000,0,2015,126,0.3784608815332472,0.282716809064672,0.20322471434617015,2,0.20780348694017756,0.023663231576900642,96.70478320046665,5.94,5.95,6.19,6.18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5.8
324552,John Wick: Chapter 2,40000000,0,2017,122,0.076452669343062898,0.070966362045498735,0.08598300374009217,10,0.56803422127163139,0.16488430876920085,23.675150690258604,6.19,6.76,6.47,6.94,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.7
19995,Avatar,237000000,0,2009,162,0.23484698409793631,0.24181903443858588,0.28201995478339109,6,0.43513837578585784,0.07742562706591484,87.25236243437682,6.14,6.40,6.41,6.56,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7.2
47933,Independence Day: Resurgence,165000000,0,2016,120,0.18017796891262824,0.16013847109911436,0.15652457366380346,0,0.35480264437098968,0.081858837254520714,51.16076220104997,6.17,6.14,5.75,5.66,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.9
24428,The Avengers,220000000,0,2012,143,0.1749739413556595,0.24629723248428281,0.27522023081058206,6,0.49952038369304563,0.096111219132801864,76.750281936612865,6.32,6.51,6.35,7.08,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.4
343668,Kingsman: The Golden Circle,104000000,0,2017,141,0.65476310843217322,0.62293801207047073,0.56725028879916739,2,0.33926048350508786,0.0055609566400933305,181.24787089247522,7.07,6.16,6.10,6.80,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2
282035,The Mummy,125000000,0,2017,110,0.32265870610347974,0.29594522156519615,0.25054370494065797,2,0.28348888456802129,0.0066498152829088083,85.643223799338912,6.34,6.19,5.69,6.58,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,5.4
118340,Guardians of the Galaxy,170000000,0,2014,121,0.21817570426965266,0.23339944260807566,0.27372564269728894,6,0.45125413182967133,0.10460820532762979,81.369628621427182,5.91,6.40,6.19,6.29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.9
